"ccode","irst.1990","irst.1991","irst.1992","irst.1993","irst.1994","irst.1995","irst.1996","irst.1997","irst.1998","irst.1999","irst.2000","irst.2001","irst.2002","irst.2003","irst.2004","irst.2005","irst.2006","irst.2007","milex.1990","milex.1991","milex.1992","milex.1993","milex.1994","milex.1995","milex.1996","milex.1997","milex.1998","milex.1999","milex.2000","milex.2001","milex.2002","milex.2003","milex.2004","milex.2005","milex.2006","milex.2007","milper.1990","milper.1991","milper.1992","milper.1993","milper.1994","milper.1995","milper.1996","milper.1997","milper.1998","milper.1999","milper.2000","milper.2001","milper.2002","milper.2003","milper.2004","milper.2005","milper.2006","milper.2007","pec.1990","pec.1991","pec.1992","pec.1993","pec.1994","pec.1995","pec.1996","pec.1997","pec.1998","pec.1999","pec.2000","pec.2001","pec.2002","pec.2003","pec.2004","pec.2005","pec.2006","pec.2007","tpop.1990","tpop.1991","tpop.1992","tpop.1993","tpop.1994","tpop.1995","tpop.1996","tpop.1997","tpop.1998","tpop.1999","tpop.2000","tpop.2001","tpop.2002","tpop.2003","tpop.2004","tpop.2005","tpop.2006","tpop.2007","upop.1990","upop.1991","upop.1992","upop.1993","upop.1994","upop.1995","upop.1996","upop.1997","upop.1998","upop.1999","upop.2000","upop.2001","upop.2002","upop.2003","upop.2004","upop.2005","upop.2006","upop.2007"
501,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,211519,230000,256200,170000,191000,206000,216000,269000,321000,327000,278000,308000,214000,247000,296000,388000,398000,681000,20,20,24,24,22,22,24,24,25,24,22,24,24,24,24,24,24,24,10700.62,10707.87,11129.97,11396.91,11337.93,11146.45,11436.07,27070.73,27991.46,11862.27,12125.55,11652.13,11442.91,11763.55,12650.37,13827.22,14340.71,14003.03,24032,25905,25700,28113,29292,30522,31806,33144,29008,29549,30080,31121,32118,33142,34191,35267,36433,37184,1899,2046,2030,2220,2361,2491,2628,2772,2925,3086,3229,3379,3740,4101,4728,5355,5982,6220
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113530,442000,107740,90000,90000,87000,114000,123000,146000,141000,144000,140000,143000,132000,122000,135000,147000,162000,40,40,46,46,50,50,50,35,35,35,34,27,27,27,27,27,27,27,7056.793,7249.338,7400.064,7657.974,15254.6,15605.87,15782.05,15846.33,17167.17,18380.28,18572.17,19961.66,21534.93,22343.3,24117.17,26264.21,28395.14,24984.99,25635,26365,27301,28253,29172,30337,30799,31507,32102,32793,33517,33524,34452,35380,36308,37379,38251,39446,2842,3061,3297,3551,3824,4061,4314,4582,4866,5168,5391,5622,5864,6116,6379,6673,6980,7301
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25908,29891,-9,27000,33000,46000,52000,85000,82000,69000,42000,35000,61000,42000,45000,64000,74000,78000,12,12,13,13,17,22,25,35,35,40,40,46,46,50,50,50,51,35,1860.577,1894.902,1910.87,1970.215,2064.402,2128.361,2232.246,2289.68,2358.398,1686.705,1739.761,2530.663,2576.605,2619.351,2664.694,2713.967,2753.242,2807.36,5458,5620,5786,5769,5875,5982,6088,6194,6457,6565,6695,6847,7032,7211,7384,7557,7730,7903,235,247,260,273,287,300,313,327,341,356,375,396,417,440,464,490,519,548
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37504,117390,112490,105000,109000,90000,97000,103000,144000,135000,98000,98000,63000,69000,45000,56000,72000,62000,6,30,30,30,30,30,55,40,40,40,70,70,70,51,51,51,51,33,982.722,983.6694,986.0715,982.5434,826.7302,1651.918,1774.586,2255.937,2283.929,2379.943,2258.376,2088.28,1914.812,2231.693,2535.906,2844.443,2979.18,3007.347,7181,6670,6200,5678,5296,5184,5397,5883,6604,7235,7733,7740,8539,8685,8820,8992,9210,9455,220,234,223,212,201,222,244,269,296,326,350,375,403,432,463,482,502,523
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34031,-9,-9,-9,-9,43000,41000,40000,41000,40000,40000,39000,38000,-9,-9,-9,-9,-9,47,7,0,0,-9,-9,-9,-9,-9,50,50,-9,-9,-9,-9,0,0,-9,2014.773,2079.592,2220.972,2264.974,2321.597,2400.495,2500.24,2619.932,2710.183,2817.628,2979.937,3065.363,3308.936,3410.188,3518.98,3623.792,3769.815,3876.623,8623,8753,8884,9035,9232,9491,9822,10217,9237,9672,10097,10097,7785,7975,8164,8354,8544,8733,775,814,854,894,934,973,1013,1053,1093,1132,1172,1212,1255,1300,1346,1394,1443,1494
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,38900,37900,28000,26000,22000,21000,20000,22000,22000,23000,22000,25000,24000,16000,12000,17000,17000,4,3,8,8,8,8,8,8,8,8,8,10,10,10,9,9,10,11,21.98747,22.11031,22.11031,22.35597,22.35597,22.60164,22.72448,22.97015,22.97015,23.16072,23.16072,23.33866,24.56701,24.56701,26.40953,31.32293,34.39381,35.86783,517,537,554,570,585,601,617,634,623,629,638,638,763,777,791,805,820,834,304,311,324,331,337,348,359,371,383,395,400,405,413,421,429,437,445,453
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310000,370000,811000,151000,120000,119000,127000,134000,387000,444000,670000,580000,338000,279000,348000,3e+05,345000,336000,250,120,120,120,120,120,100,100,200,300,352,252,252,164,173,182,183,153,40418.54,40403.48,44381.5,41621.74,25954.75,26214.19,26649.8,27400.89,51370.22,54736.03,56083.18,33040.84,33570.86,34187.75,34828.4,35493.98,36103.46,36692.82,51689,53383,55117,53236,54938,56677,58506,60148,59649,61095,62565,65374,67220,69127,71066,73044,75067,77090,2397,2420,2444,2467,2490,2676,2862,3049,3235,3421,3645,3869,4108,4270,4439,4594,4754,4920
531,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,91000,41000,40000,61000,196000,297000,309000,196000,173000,151000,279000,72000,65000,-9,-9,-9,-9,-9,55,55,45,45,55,100,215,200,172,172,202,202,202,202,202,-9,-9,-9,538.8751,575.6031,595.1306,618.098,646.3022,784.3895,816.1494,846.3827,794.3323,821.6047,852.252,736.8983,766.8911,785.6869,808.5138,-9,-9,-9,3017,3084,3171,3280,3409,3577,3719,3850,3852,3964,4134,4307,4473,4631,4781,-9,-9,-9,358,375,392,410,429,449,469,499,530,561,593,627,660,695,731
540,10,10,10,9,9,9,9,9,9,9,9,9,-9,-9,-9,-9,-9,-9,2732000,538965,-9,1100000,524000,4e+05,460000,764000,974000,1005000,2e+06,1470000,1e+06,366000,958000,1189000,1588000,2264000,115,150,128,128,120,100,95,95,100,100,108,130,100,120,114,108,108,107,10345.09,10524.37,10819.23,11065.58,10470.37,14128.93,14165.02,13094.36,13439.57,14568.02,14888.93,14821.58,16881.16,13266.12,22133.8,23916.6,26322.75,28484.58,10020,9515,10609,10133,10466,10816,11185,11569,12092,12479,12878,12883,15164,15647,16135,16618,17089,17555,1649,1571,1751,1851,1956,2052,2154,2260,2371,2488,2608,2734,2870,3013,3162,3298,3439,3587
541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113090,114440,100690,91000,106000,58000,64000,72000,82000,94000,91000,71000,89000,57000,70000,58000,57000,57000,65,65,50,50,11,12,11,14,14,8,6,11,11,8,9,11,11,11,8135.226,8120.497,8163.965,8251.32,8475.092,8602.232,8687.902,8941.835,9883.286,10144.06,10456.38,11588.77,11978.84,12267.82,12782.48,13357,13840.23,14433.54,14151,14420,14790,15583,16614,17423,17796,18265,18880,19285,19680,17653,18078,18514,18962,19420,19889,20367,1675,1808,1951,2105,2271,2415,2569,2732,2905,3090,3244,3406,3576,3754,3941,4118,4303,4496
