"ccode","irst.1990","irst.1991","irst.1992","irst.1993","irst.1994","irst.1995","irst.1996","irst.1997","irst.1998","irst.1999","irst.2000","irst.2001","irst.2002","irst.2003","irst.2004","irst.2005","irst.2006","irst.2007","milex.1990","milex.1991","milex.1992","milex.1993","milex.1994","milex.1995","milex.1996","milex.1997","milex.1998","milex.1999","milex.2000","milex.2001","milex.2002","milex.2003","milex.2004","milex.2005","milex.2006","milex.2007","milper.1990","milper.1991","milper.1992","milper.1993","milper.1994","milper.1995","milper.1996","milper.1997","milper.1998","milper.1999","milper.2000","milper.2001","milper.2002","milper.2003","milper.2004","milper.2005","milper.2006","milper.2007","pec.1990","pec.1991","pec.1992","pec.1993","pec.1994","pec.1995","pec.1996","pec.1997","pec.1998","pec.1999","pec.2000","pec.2001","pec.2002","pec.2003","pec.2004","pec.2005","pec.2006","pec.2007","tpop.1990","tpop.1991","tpop.1992","tpop.1993","tpop.1994","tpop.1995","tpop.1996","tpop.1997","tpop.1998","tpop.1999","tpop.2000","tpop.2001","tpop.2002","tpop.2003","tpop.2004","tpop.2005","tpop.2006","tpop.2007","upop.1990","upop.1991","upop.1992","upop.1993","upop.1994","upop.1995","upop.1996","upop.1997","upop.1998","upop.1999","upop.2000","upop.2001","upop.2002","upop.2003","upop.2004","upop.2005","upop.2006","upop.2007"
590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,7000,11300,11200,11000,14000,94000,87000,90000,91000,9000,9000,10000,12000,11000,10000,11000,27000,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9,-9,0,0,0,599.0344,585.0883,628.675,612.252,629.0037,702.592,632.5505,795.8743,741.6349,686.7083,898.0609,988.6817,970.4419,1002.405,1000.32,1066.854,1183.893,1275.495,1059,1070,1084,1097,1113,1122,1134,1148,1141,1150,1158,1200,1210,1223,1233,1243,1253,1260,140,142,143,144,145,136,146,131,117,102,187,271,356,358,360,362,310,258
591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,15920,15230,13200,13000,12000,11000,10000,11000,11000,11000,11000,12000,12000,16000,15000,15000,11000,1,1,1,1,1,-9,-9,-9,-9,0,0,0,0,0,0,1,0,0,12.40634,13.02051,13.51185,14.3717,15.47721,15.84572,16.33706,18.30242,19.53077,21.17676,20.56258,20.70999,24.22307,24.39503,24.87409,25.39,27.87127,32.07223,70,70,71,72,74,75,76,75,76,77,77,81,84,83,82,83,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,205,314,512,1500000,983000,1140000,1193000,1252000,1464000,1431000,1386000,1696000,1761000,1429000,1315000,1545000,1826000,1990000,2054000,2161000,2409000,195,195,195,195,195,195,195,195,195,195,198,198,196,196,198,200,201,201,13587.13,13411.51,14507.04,14857.58,13697.81,14129.44,13977.13,14002.04,15361.87,16849.23,16544.46,26978,27054.53,23700.68,27658.82,29231.79,30098.8,31208.14,24487,25020,25547,26069,26590,26386,26848,27310,27377,27867,28351,29170,29631,30088,30540,30172,30506,30841,8271,8321,8370,8420,9023,9626,10230,10833,11436,12039,12642,13246,13849,14452,15696,16940,18183,19427
615,836,840,842,865,807,827,651,399,600,758,842,947,1091,1051,1014,1007,1158,1278,904000,660000,1900000,1119000,1306000,1427000,1840000,2114000,3125000,3086000,2989000,3149000,2098000,2206000,2805000,2877000,3096000,4270000,126,126,126,126,126,120,119,124,120,120,124,124,136,127,132,137,138,138,198340,194391.5,189253.2,201485.8,203675.6,211346.6,218794,209515.1,216631.9,251990.3,274169,285140.6,281244.3,279764,286323.6,299360.7,296874.9,306255.5,25022,25643,26271,26894,27496,28060,28566,29050,30081,30774,31471,30872,31332,31848,32364,32906,33481,34096,6578,6847,7116,7384,7653,7922,8191,8460,8729,8978,9213,9454,9702,9956,10217,10471,10730,10996
616,176,193,182,182,184,201,187,195,171,231,229,239,200,86,66,115,160,160,400770,468600,596000,345000,312000,369000,406000,334000,363000,348000,357000,377000,346000,410000,447000,471000,502000,470000,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,5489.361,5720.515,5625.438,5976.388,6576.858,7006.445,7366.979,7581.909,7827.079,7941.811,8793.005,9695.665,9784.884,10097.46,10260.27,10791.5,11004.84,11376.95,8154,8318,8490,8657,8814,8958,9092,9215,9335,9460,9586,9674,9749,9840,9932,10029,10128,10225,953,987,991,992,1272,1313,1354,1394,1435,1467,1489,1511,1533,1556,1579,1604,1629,1654
620,492,718,789,920,874,909,863,897,874,966,1055,846,886,1007,1026,1255,1151,1250,1820000,2700000,2300000,-9,1413000,1401000,1327000,1250000,1489000,1311000,1176000,546000,475000,534000,715000,721000,593000,656000,86,86,85,85,80,76,76,70,70,85,76,76,76,76,76,76,76,76,43467.93,44982.8,41289.68,40372.16,40061.89,41697.21,39681.26,45167.48,42129.22,42869.62,43505.17,44254.59,45594.23,45564.52,53421.24,55307.84,61698.92,62905.81,4151,4326,4509,4700,4899,5407,5593,5784,5339,5471,5605,5300,5484,5685,5803,5923,6045,6169,3290,3382,3477,3574,3674,3772,3872,3975,4081,4190,4282,4377,4474,4572,4673,4778,4884,4993
625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,393013,1010000,255000,376000,389000,412000,413000,381000,424000,581000,588000,388000,4e+05,426000,1169000,524000,-9,65,65,82,82,82,89,89,105,105,105,104,117,117,104,104,104,105,105,6921.025,7291.7,6820.76,6190.489,6631.773,6794.735,6898.366,7253.921,6851.138,6800.006,9232.071,11990.82,12895.06,13455.54,14362.87,14581.25,15979.22,16008.05,25752,26530,27323,28129,28947,26707,27291,27899,28292,28883,29490,31627,32468,33334,34512,35397,36297,37197,4056,4288,4520,4752,5020,5270,5531,5805,6093,6395,6641,6896,7161,7436,7721,8036,8364,8705
630,1425,2203,2917,3672,4498,4696,5415,6322,5602,6070,6600,6916,7321,7869,8682,9404,9789,10051,3200000,5800000,2300000,1516000,2340000,3e+06,3442000,4695000,5879000,5711000,3957000,4698000,3077000,4150000,5328000,7275000,8541000,7451000,440,465,528,528,528,530,540,575,460,460,513,513,520,540,480,420,545,545,142061.6,151689.4,158234.7,167896.6,212306.9,212579.6,225758.3,222767.4,248191.2,275253.5,300562.5,290327.6,307985.7,326271.8,354728.3,370182.4,398109.7,412138,54496,55837,57153,58481,59778,68365,61128,60694,65758,66796,67702,65301,66300,67315,68345,69390,70603,71532,19877,20297,20733,22080,23514,24342,25169,25783,26398,27012,27626,28240,28855,29469,30656,31842,33029,33723
640,8373,8572,9657,9061,12624,13183,13624,14475,14144,14313,14325,14981,16467,18298,20478,20961,23315,25754,2980000,4400000,4140000,7075000,4600000,6606000,7674000,7792000,8955000,9717000,9994000,7219000,8034000,9036000,9390000,10328000,13038000,13643000,769,804,704,686,811,805,818,820,788,789,610,515,515,515,514,514,515,515,158075.2,153181,160563.8,176736.5,177623.7,190607.8,205062.8,211442,219282.5,219930.1,237747.2,234487,253214.2,279970.6,287652.8,312635.1,338657,370437,56098,57305,58401,59491,60576,61644,62697,63745,64479,65546,66591,68365,69302,70231,71152,72065,72974,73875,20974,21464,21984,22526,23943,20994,23720,26445,25219,23992,22766,21539,20313,19086,17860,16633,15407,14180
645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610000,12900000,2500000,2600000,2748000,1250000,1277000,1250000,1428000,1500000,1400000,1372000,-9,-9,-9,-9,-9,-9,1390,475,407,407,425,450,450,400,420,420,429,424,389,389,284,179,227,227,40466.64,25243.61,33909,36640.33,41036.24,42586.25,42895.89,43328.64,44864.24,44271.96,44667.85,48334.87,50694.45,44377.86,41764.72,42186.95,43555.11,37481.42,18078,18514,18898,19261,19650,20095,20607,21177,21800,22450,23115,24813,25565,26340,27139,27963,28810,29682,13294,13650,14016,14391,14777,15130,15492,15862,16241,16629,17035,17451,17877,18313,18760,19125,19498,19879
651,2325,2541,2500,2500,2622,2642,2618,2717,2870,2627,2838,3799,4316,4398,4810,5603,6045,6224,1570000,1650000,2470000,2070000,2234000,2506000,2742000,2743000,2888000,2988000,4099000,4318000,3300000,2732000,3589000,3834000,4337000,4640000,434,434,424,424,430,430,430,430,430,430,448,443,443,450,459,468,469,469,59426.57,61206.32,62302.8,68689.7,70674.8,76012.11,80110.19,83051.45,91646.7,94950.13,103115.6,100801.8,103976.6,110745.3,109593.3,118187.5,126815,129362.1,53270,54531,55739,56488,57851,59226,60603,62011,65978,67226,68470,65374,67220,69127,71066,73044,75067,77090,17654,17654,17860,18066,18273,18479,18685,18986,19292,19602,19994,20394,20802,21218,21642,22073,22512,22960
652,76,63,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1620000,4500000,2200000,3635000,2165000,1738000,2132000,2217000,986000,989000,1483000,1884000,1064000,1283000,1524000,1502000,1739000,1465000,408,408,408,408,320,320,320,320,315,310,316,321,319,319,313,307,308,308,23556.06,25657.37,26028.78,27137.21,28375.18,30016.02,30878.75,37183.97,40190.83,41112.14,40684.15,39721.77,43655.42,43283.6,44519.05,42268.05,33876.59,32932.75,12116,12529,12958,13393,13844,14186,14619,14951,15333,15725,16125,16720,17130,17550,17829,18138,18717,19172,4103,4231,4358,4361,4663,5328,5994,6659,7325,7990,8656,9321,9987,10652,11318,11983,12649,13314
660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,151000,233000,275000,370000,490000,494000,676000,586000,563000,578000,576000,539000,582000,609000,564000,589000,733000,36,36,37,37,50,55,55,57,58,58,64,72,72,72,72,72,72,72,841.2756,1123.228,1074.376,850.7701,905.2719,990.5615,1302.81,1599.362,1459.449,1539.518,1674.331,1711.336,1787.296,1758.088,1747.731,1776.347,1733.416,1810.122,2555,2610,2698,2806,2915,3009,3084,3144,3191,3236,3282,3283,3899,3965,4028,4082,4126,4162,767,778,795,826,858,879,901,923,946,970,988,1007,878,749,619,490,361,361
663,30,30,30,30,30,30,30,30,30,30,30,30,134,135,140,150,150,150,571210,414500,525230,438000,441000,448000,461000,496000,559000,588000,792000,740000,776000,914000,920000,973000,1115000,1621000,100,100,100,100,100,100,100,102,102,102,104,100,100,100,100,100,101,101,4693.475,4258.873,4986.928,4988.768,5307.023,5586.614,5728.952,6100,6197.814,6234.292,6796.864,6813.273,6934.461,6964.214,9161.982,10106.61,10519.33,10871.99,4259,4433,4651,4896,5143,5373,5581,5774,6304,6482,6669,4978,5098,5230,5350,5473,5600,5723,1539,1656,1809,1961,2114,2267,2419,2572,3363,4153,2042,2108,2174,2240,2194,2147,2101,2174
666,144,160,160,160,180,220,265,270,280,280,280,280,280,280,280,300,300,300,6160000,5e+06,6900000,7296000,6842000,9298000,11202000,11321000,9339000,8846000,9509000,10375000,9677000,10325000,10235000,10745000,11582000,11607000,190,190,181,181,185,185,185,185,175,173,172,164,161,167,167,168,168,168,17806.68,23277.42,46889.4,53980.04,34540.84,34894.3,36827.39,41799.87,44780.87,46841.92,50265.18,52909.55,54777.14,56701.48,54532.62,47486.66,52047.72,44961.18,4660,4949,5124,5261,5399,5545,5689,5836,5984,6101,6217,6439,6570,6690,6809,6930,7054,7180,2177,2263,2323,2383,2443,2484,2528,2572,2610,2679,2748,2816,2885,2912,2943,3082,3120,3160
670,1833,1850,1900,2000,2411,2451,2683,2539,2356,2610,2981,3413,3570,3944,3902,4186,3974,4644,23200000,35500000,14490000,17516000,14554000,17196000,17730000,18151000,21303000,21876000,22050000,24266000,18502000,18747000,20910000,25372000,29541000,35446000,146,191,172,172,164,175,180,180,190,190,202,201,200,200,199,199,200,225,255888.3,287621.8,303320.3,316716.4,324389.3,236870.8,257007,237166.5,232364,237212.6,277154.4,270955.1,285980.8,304126.3,336035.4,352971.4,357126.9,352419.6,14870,16545,16964,17350,17765,18255,18836,19494,20181,20899,21607,20979,21495,22023,22564,23119,23679,24243,5689,6339,6988,7637,8287,8936,9585,10235,10884,11533,12183,12832,13481,14131,14780,15132,15492,15861
678,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1e+06,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,127,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,687.6669,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9196,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,230,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1100000,935000,490000,495000,387000,354000,393000,404000,429000,499000,531000,740000,809000,842000,584000,824000,908000,127,127,64,64,69,68,69,69,69,69,66,54,66,67,66,66,67,67,53.99162,6748.222,9026.723,6280.487,6426.163,6504.386,8154.823,8968.924,7068.399,7545.69,7774.337,8129.665,7826.809,8226.118,8163.949,8654.652,8378.514,9330.623,11279,11613,11952,12302,14859,15369,15915,16484,16887,17488,18118,17993,18540,19104,19694,20283,20901,21539,1605,1687,1773,1864,1959,2059,2165,2275,2391,2513,2647,2789,2924,3066,3214,3367,3526,3694
680,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5784.197,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2460,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,330,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13100000,15500000,2.9e+07,2845000,3133000,3489000,3973000,3618000,3674000,3275000,3695000,5029000,3477000,3881000,3284000,3568000,3514000,3757000,7,10,12,12,15,20,22,28,21,21,15,16,16,16,15,15,16,16,62237.41,6184.618,34618.2,51638.54,76435.73,87774.25,84905.57,104412.9,99310.99,103341.3,93556.8,88461.09,90546.58,102404.7,105092.8,109543.5,112694.7,114544.9,2141,2095,1422,1461,1620,1691,1754,1809,1811,1897,1972,1953,2022,2093,2167,2245,2328,2411,285,288,291,293,296,299,301,304,307,310,312,315,318,320,323,0,0,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201920,237000,252000,245000,261000,273000,295000,364000,410000,441000,322000,364000,332000,461000,474000,5e+05,532000,539000,8,8,7,7,8,8,9,9,9,9,11,11,11,11,11,11,11,11,58803,60601.83,61939.27,31871.09,31516.32,32493.04,33396.6,33607.29,34159.89,35345.4,36419.26,27959.31,29038.51,29754.97,30139.26,31760.69,31921.55,33116.81,503,508,519,537,557,578,599,620,595,606,617,661,711,765,824,889,960,1039,126,128,140,141,143,144,146,147,149,150,152,153,158,163,167,172,177,181
694,565,561,575,620,572,606,616,608,637,629,729,891,1027,1055,1089,1057,1003,1147,-9,934070,-9,801000,308000,7e+05,772000,1346000,1373000,1468000,1183000,1243000,1855000,1923000,2060000,888000,1065000,1099000,11,11,8,8,10,10,11,11,11,12,12,12,12,12,12,12,12,12,15188.7,19195.98,31162.42,32539.8,32803.73,32758.63,34231.74,37464.7,35187.28,36484.91,39050.37,40292.31,39840.64,42746.28,50991.46,60691.38,59099.56,71615.2,486,503,533,559,593,548,558,569,579,589,599,649,682,718,756,888,1042,1226,324,264,312,321,330,338,345,353,361,369,375,382,459,536,613,679,752,832
696,45,45,45,45,45,60,90,90,90,90,90,90,90,90,90,90,90,90,2590000,4900000,2100000,1771000,2149000,1950000,2115000,2424000,3056000,3187000,2997000,3070000,2490000,2519000,8910000,8747000,9482000,10082000,66,66,55,55,60,60,60,60,65,65,65,65,42,50,50,50,51,51,53769.89,58479.53,60431.4,66396.99,70579.84,77720.63,88187.91,86223.4,108877.5,104138.3,129275.6,140019,115900.4,123589.8,131974,133138.8,145626.6,153897.6,1921,1983,2044,2102,2157,2314,2443,2580,2353,2398,2441,3167,3349,3551,3761,3995,4229,4488,1286,1318,1351,1480,1608,1737,1865,1994,2123,2251,2380,2508,2637,2773,2916,3011,3109,3210
698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,1390000,1440000,1800000,1800000,2063000,2018000,1957000,1976000,1792000,1631000,2099000,2831000,2518000,2655000,3008000,3695000,3276000,3237000,32,29,35,35,35,36,38,38,42,38,44,43,42,42,41,41,42,42,12321.72,12618.62,13019.78,13230.78,15184.07,15562.64,15112.34,18511.24,19684.95,21369.13,22032.08,22707.77,26527.2,27744.81,26042.63,28548.96,31090.9,29813.04,2000,1864,1945,2029,2096,2135,2302,2401,2382,2460,2542,2478,2538,2477,2416,2514,2577,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,-9,-9,-9,-9,2e+05,208000,209000,255000,250000,250000,245000,0,0,121000,116000,120000,153000,58,45,45,45,45,-9,-9,-9,-9,400,400,-9,50,60,43,27,27,50,862.5941,822.8353,673.2452,680.3742,687.502,694.049,704.0945,708.6006,710.939,720.2327,729.6624,754.3517,622.8413,687.5892,680.3133,697.826,711.2269,725.6503,14754,15403,16276,17322,18470,19661,20883,22132,21354,21923,22720,22080,22930,22842,22753,22665,22576,22488,2162,2343,2540,2753,2983,3118,3260,3408,3563,3724,3937,4162,4354,4555,4765,4985,5215,5456
701,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,433300,74000,66000,135000,141000,138000,86000,144000,290000,222000,350000,350000,145000,154000,184000,209000,-9,-9,28,28,15,21,21,21,15,15,14,18,18,29,27,26,26,26,-9,0,18357.42,19201.11,23248.34,24504.05,21935.26,23003.44,24232.88,27959.46,28385.66,30792.13,31195.65,33478.59,31060.04,32651.53,34693.18,35853.36,-9,3753,4032,4308,4406,4509,4569,4235,4309,4384,4459,4974,5052,5124,5196,5268,5340,5412,-9,695,695,712,730,748,767,785,805,825,844,864,882,901,920,940,962,983
702,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,202800,151000,69000,111000,118000,132000,102000,92000,130000,127000,140000,150000,45000,62000,73000,87000,-9,-9,3,3,3,8,10,10,7,7,6,6,6,6,6,7,8,8,-9,2688,7220.871,6567.189,5310.755,5077.331,5452.887,4610.275,4736.758,4983.127,4766.569,4802.429,4688.848,4955.071,5043.201,5222.264,5233.299,5448.009,-9,5464,5571,5638,5745,5836,5919,6046,6015,6104,6188,6313,6441,6573,6710,6850,6992,7140,-9,820,820,830,839,849,859,869,879,890,896,902,889,876,864,851,838,825
703,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,47060,85300,49000,56000,50000,68000,66000,35000,230000,255000,2e+05,220000,33000,34000,36000,39000,-9,-9,12,12,13,13,13,14,11,12,9,9,11,11,11,12,13,13,-9,579.3378,6729.459,5830.189,5892.45,4894.057,5739.65,5533.777,5354.436,5219.592,5707.561,5120.859,5497.774,5980.731,5920.083,5848.344,5987.148,5987.949,-9,4453,4493,4482,4473,4514,4576,4635,4643,4669,4699,4955,4993,5039,5093,5144,5192,5235,-9,847,836,825,813,802,806,812,824,835,965,999,1004,1033,1035,1045,1014,1022
704,-9,629,630,573,364,367,444,379,351,344,407,433,450,499,602,595,617,645,-9,-9,-9,-9,382000,385000,441000,610000,670000,1230000,1750000,1764000,2100000,2200000,62000,76000,85000,94000,-9,-9,40,41,20,21,30,65,33,33,59,52,52,53,54,55,55,55,-9,2521.744,77168.62,94536.16,90886.24,76961.98,79184.37,79220.42,92177.59,91628.82,93288.37,94206.59,97932.36,94806.63,92248.35,86969.84,89313.35,89531.37,-9,20862,21360,21852,22282,22690,23130,23667,23574,23942,24318,24964,25272,25568,25864,26167,26486,26868,-9,5332,5307,5282,5257,5233,5208,5184,5214,5243,5282,5321,5364,5406,5450,5497,5544,5592
705,-9,6377,5680,4300,2969,3028,3216,3889,3121,4099,4769,4655,4814,4898,5385,4451,4269,4782,-9,-9,1500000,1140000,424000,427000,552000,503000,508000,291000,1250000,1274000,1500000,1500000,1680000,1700000,8e+05,1164000,-9,-9,40,15,18,20,30,34,33,33,64,64,66,66,65,65,66,66,-9,0,247446.6,171948.4,156641.6,141471,118798.5,102013.7,99978.65,87247.77,97276.64,108171,115926,129627.5,148054.3,172260.8,179875.5,193303.1,-9,16451,16518,16479,16297,16066,15921,16832,16319,16269,16223,14858,14859,14909,15013,15147,15308,15484,-9,4661,4720,5887,5836,5785,5734,5683,3211,5298,4707,5018,5329,5640,5713,5883,6053,6045
710,66350,71000,80940,89539,92613,95360,101237,108911,114588,123954,127236,150906,182249,222413,280486,355790,422989,494899,6060000,18790000,24300000,27400000,28945000,32929000,36176000,36551000,38191000,39889000,4.2e+07,46049000,68963000,75500000,87150000,29873000,35223000,46174000,3500,3200,3160,3030,2930,2930,2650,2600,2600,2400,2810,2310,2270,2250,2252,2255,2255,2255,1365589,1419847,1500474,1592208,1689288,1819947,1909494,1909844,1800368,1912317,2034879,2077386,2237503,2619506,3107549,3420636,3798933,4116892,1155305,1170038,1183568,1196167,1208278,1220224,1232083,1243738,1255698,1266838,1277558,1271850,1280400,1288400,1296075,1303720,1311020,1324655,170707,173264,175824,227403,278981,330560,382139,433717,485296,536874,588453,612933,638431,664989,692653,710800,729423,748534
712,0,0,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,238805,264000,258000,32300,18000,19000,15000,23000,21000,19000,23000,25000,25000,15000,17000,30000,39000,43000,32,31,21,18,18,18,20,20,20,20,9,9,9,9,8,8,9,9,3558.792,4543.624,4122.57,3491.083,3192.782,3214.179,3215.108,3109.594,3107.355,3065.765,3009.52,3113.977,3328.048,3168.663,3323.603,3461.904,3605.615,3883.881,2216,2270,2319,2366,2414,2347,2380,2313,2579,2621,2662,2425,2459,2490,2519,2548,2579,2615,580,596,612,622,632,642,652,662,673,706,740,773,833,893,920,947,980,1013
713,10466,10644,11180,12779,11594,11605,12416,16056,16965,15438,16896,17261,18230,18832,19599,18942,20092,20903,8690000,9290000,10420000,10450000,11457000,13143000,13868000,13657000,14447000,14964000,17597000,10432000,7589000,7542000,7542000,7978000,7738000,9585000,370,370,360,442,425,425,400,400,370,370,370,370,370,290,290,290,290,290,10861,11610,11986,12942,13567.48,14223.47,14911.17,15632.13,16387.94,17180.15,18350.34,19520.54,20690.73,21860.93,23031.12,24201.32,25371.51,26541.71,20353,20557,20752,20944,21126,21304,21471,21683,21871,21873,21875,22406,22521,22605,22689,22770,22877,22958,11280,11404,11909,12007,12132,12333,12545,12689,12956,13099,13302,13508,13509,13510,13511,13511,13512,13513
731,8000,8000,8100,8100,1600,600,600,600,300,300,300,300,300,300,300,300,300,300,5230000,5450000,5500000,5300000,5660000,5232000,5559000,2273000,2086000,2100000,2091000,2049000,5e+06,5500000,-9,-9,-9,-9,1200,1200,1200,1100,1100,1100,1100,1100,1000,1000,1055,1082,1082,1082,1094,1106,1106,1106,94401.55,96606.09,94921.23,96728.71,95786.64,95854.66,94845.63,88494.85,26412.49,29057.07,30939.24,31887.04,30640.26,31503.41,32309.52,33804.56,34228.97,29147.73,20363,20687,21025,21375,21734,22097,22466,22837,23348,23702,24039,23149,23313,23464,23612,23760,23908,24056,7142,7279,7518,7640,7764,7857,7951,8047,8143,8241,8337,8433,8493,8553,8614,8660,8705,8752
732,24459,27864,29557,33026,33745,36772,38903,42554,39896,41042,43107,43852,45390,46310,47521,47820,48455,51517,10620000,10800000,11400000,11930000,12764000,14179000,16172000,15334000,10461000,12088000,12749000,11165000,13081000,14632000,17463000,21504000,24645000,26588000,650,750,750,750,750,750,670,670,670,665,683,683,686,686,686,687,688,687,280799.5,352248.1,403779.6,447271,464047.4,529196.9,606735.5,711151.7,684165,730020.6,775831.3,792607.1,783201.1,807750.1,865337.2,883023.2,914018.4,943873.3,42869,43296,43748,44195,44642,45093,45545,45991,46109,46480,46844,47354,47622,47859,48039,48138,48297,48456,30100,30879,31659,32438,33218,33997,32668,31339,30010,28681,27352,26023,24694,23365,23126,22888,22649,22826
740,110339,109648,98132,99600,98295,101640,98801,104545,93548,94192,106444,102866,107745,110511,112718,112471,116226,120203,28730000,32680000,38600000,41730000,46639000,50219000,45502000,40891000,38482000,40383000,45316000,39513000,39200000,42835000,45152000,43910000,41144000,41039000,250,250,242,242,233,240,250,250,255,240,237,240,240,240,239,239,260,240,1427111,1529304,1451937,1543621,1639295,1651024,1703556,1748064,1697460,1705338,1773074,1761745,1814113,1866871,1905216,1921436,1904527,1934963,123478,123964,124425,124829,125178,125472,125761,125638,126281,126505,126714,127149,127445,127718,127761,127773,127756,127772,72347,72618,72863,74091,74342,74850,75103,75875,76300,76536,76772,72384,77843,78276,78496,84094,84254,84414
750,16479,17577,18723,18616,19282,22003,23753,24415,23480,24296,26924,27291,28814,31779,32626,38083,49450,53080,10100000,8070000,6700000,7e+06,7638000,9992000,12079000,12805000,13594000,13895000,14765000,14167000,13749000,15508000,19821000,21726000,22428000,26513000,1260,1260,1260,1260,1260,1260,1260,1260,1300,1300,1303,1263,1298,1325,1325,1325,1325,1316,525430.4,551726.3,593621.3,600366.6,623519.1,657382.7,713514.5,735512.2,781434.7,864313.8,886672.1,1131282,1177886,1228856,1304036,1375306,1471438,1573433,834697,851661,867818,883910,899953,915971,939540,955220,982223,998056,1013662,1034931,1051258,1068065,1084757,1101318,1117734,1134023,117059,121673,124410,129743,135077,140410,145743,151077,156410,161743,167077,172410,176496,180679,184961,189234,193605,198077
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,19000,20000,21000,19000,20000,22000,-9,-9,-9,-9,5,5,5,5,5,5,8,8,8,8,6,-9,-9,-9,-9,-9,-9,-9,1431.996,1438.396,1458.371,1457.188,1467.857,1480.95,1550.43,1585.764,1612.004,1630.245,1655.52,1706.892,1805.58,1847.172,1848.546,1933.891,2170.401,2499.995,1645,1672,1693,1713,1738,1770,1812,1862,2004,2064,2124,591,602,613,624,636,647,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,780,870,853,992,1000,950,900,900,900,900,950,1100,970,1000,1145,825,1040,1090,2910000,3230000,3600000,3300000,3585000,3642000,3652000,3916000,4078000,3523000,2522000,2395000,2687000,3129000,3644000,4067000,4156000,4530000,550,565,580,580,580,580,580,610,590,590,612,620,620,620,619,619,619,619,43748.43,46367.84,52355.16,54349.28,56642.46,56723.84,61408.44,61804.4,63823.25,66929.95,67215.52,87596.73,93648.76,105227.6,119142.1,122137.8,125012.6,133722.8,112404,115766,119229,122795,126467,129871,134146,138150,148166,152331,156483,142350,145280,148210,151090,153960,156770,159570,20169,20794,21438,22814,24277,25835,27493,29257,31134,32208,33190,34203,35246,36321,37429,38540,39685,40864
